Sample File	C:\Users\ARG\Desktop\Kevin\20211111_GFGdilution.S80
Classifier Model	3071
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3775 Low Flow
Reference Gas Viscosity (Pa*s)	1.83245e-005
Reference Mean Free Path (m)	6.73e-008
Reference Gas Temperature (K)	296.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	FALSE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	FALSE
Units	dw/dlogDp
Weight	Number
Sample #	Date	Start Time	Sample Temp (C)	Sample Pressure (kPa)	Mean Free Path (m)	Gas Viscosity (Pa*s)	Diameter Midpoint	 14.6	 15.1	 15.7	 16.3	 16.8	 17.5	 18.1	 18.8	 19.5	 20.2	 20.9	 21.7	 22.5	 23.3	 24.1	 25.0	 25.9	 26.9	 27.9	 28.9	 30.0	 31.1	 32.2	 33.4	 34.6	 35.9	 37.2	 38.5	 40.0	 41.4	 42.9	 44.5	 46.1	 47.8	 49.6	 51.4	 53.3	 55.2	 57.3	 59.4	 61.5	 63.8	 66.1	 68.5	 71.0	 73.7	 76.4	 79.1	 82.0	 85.1	 88.2	 91.4	 94.7	 98.2	101.8	105.5	109.4	113.4	117.6	121.9	126.3	131.0	135.8	140.7	145.9	151.2	156.8	162.5	168.5	174.7	181.1	187.7	194.6	201.7	209.1	216.7	224.7	232.9	241.4	250.3	259.5	269.0	278.8	289.0	299.6	310.6	322.0	333.8	346.0	358.7	371.8	385.4	399.5	414.2	429.4	445.1	461.4	478.3	495.8	514.0	532.8	552.3	572.5	593.5	615.3	637.8	661.2	Scan Up Time(s)	Retrace Time(s)	Down Scan First	Scans Per Sample	Impactor Type(cm)	Sheath Flow(lpm)	Aerosol Flow(lpm)	CPC Inlet Flow(lpm)	CPC Sample Flow(lpm)	Low Voltage	High Voltage	Lower Size(nm)	Upper Size(nm)	Density(g/cc)	Title	Status Flag	td(s)	tf(s)	D50(nm)	Median(nm)	Mean(nm)	Geo. Mean(nm)	Mode(nm)	Geo. Std. Dev.	Total Conc.(#/cm³)	Comment
1	11/11/21	12:35:38						490.355	0	113.691	115.516	205.444	101.884	0	189.934	0	0	0	0	0	77.595	74.8261	0	0	0	66.2814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0838	93.2407	0	42.3926	41.6858	0	0	0	39.0768	38.6714	152.323	6.92747	67.7762	36.9462	0	36.2255	0	35.6998	85.079	56.7477	70.3649	35.0129	34.8448	69.6773	34.6719	173.327	220.622	229.9	319.104	166.67	104.862	104.841	140.412	73.5582	140.107	102.986	110.514	145.005	254.936	183.842	111.373	135.417	202.444	486.876	283.66	238.977	264.802	290.828	222.183	323.595	325.978	125.817	172.952	346.868	288.403	255.332	92.2781	235.006	237.958	97.021	0	50.122	153.432	261.045	202.492	225.815	0	0	56.952	57.8277	0	47.6825	134.914	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	229.715	231.988	163.095	14.5902	2.78344	169.542	
2	11/11/21	12:39:41						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.9267	0	0	0	0	0	0	0	49.678	0	0	0	0	0	0	43.1235	0	0	41.0018	0	39.6983	39.0768	0	0	113.086	74.6342	65.8683	44.5277	0	155.332	96.0625	0	83.2125	198.649	0	0	34.8387	34.6719	34.6655	0	69.3047	103.937	69.5983	34.954	69.8937	105.309	38.2978	138.625	142.996	71.8244	0	109.258	73.537	0	172.904	240.302	192.716	271.753	78.4398	237.759	246.62	257.737	104.997	210.201	127.528	129.714	170.898	94.1461	0	92.2781	94.0024	142.775	136.548	104.417	53.8462	0	100.685	3.78536	0	109.745	55.6842	113.904	115.655	12.4935	215.324	12.6655	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	244.387	266.272	221.489	241.442	1.91056	95.8767	
3	11/11/21	12:43:41						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.4578	15.1559	0	0	0	0	44.6627	0	43.1235	0	112.678	53.1781	40.3397	0	39.0768	77.3428	152.323	157.708	105.093	36.9462	36.9244	35.8869	0	35.6998	71.0517	35.3534	0	0	0	34.8387	34.6719	34.6655	103.977	138.609	69.2912	90.0304	154.247	244.628	74.1541	172.336	180.059	208.737	182.338	16.5904	137.098	65.3724	74.2489	112.462	75.7158	0	38.8218	117.66	118.879	120.771	100.124	22.293	126.121	127.528	172.952	175.97	89.0153	90.6169	138.417	66.6731	122.856	0	148.398	150.366	0	100.685	56.727	54.0849	25.7867	196.569	113.904	0	0	0	0	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	192.989	238.327	195.072	151.247	1.94104	90.7389	
4	11/11/21	12:51:52						0	0	0	0	0	0	0	0	0	88.6151	171.203	248.357	160.298	239.729	217.782	145.329	211.873	480.864	536.573	332.654	570.265	616.21	421.997	312.1	563.702	547.328	482.084	819.583	1053.86	837.907	819.033	1460.51	1197.67	1215.36	1551.77	845.384	1254.54	1650.39	1784.99	1440.76	1885.96	1794.73	1545.8	2491.67	1875.23	2197.35	2491.74	2954.69	3204.44	3505.83	2969.68	3156.57	2711.25	4135.57	4155.86	4474.36	4055.8	4538.47	4185.63	3933.69	4096.46	3919.92	4061.08	4592.42	4469.43	3790.93	4176.78	3991.92	3287.27	3383.31	3518.19	2702.64	3659.29	3121.86	2777.43	2155.8	2284.71	2269.55	1734.7	2138.82	1592.13	1719.01	1426.14	1328.51	1379.34	2068.25	827.322	1034.24	688.138	407.776	334.971	383.459	469.921	443.961	172.205	454.822	102.288	469.88	370.592	54.0849	135.532	196.569	170.856	0	234.925	180.435	61.1242	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	123.164	142.927	119.943	140.746	1.83071	2615.34	
5	11/11/21	12:55:55						0	0	0	0	0	0	0	0	0	90.4383	110.173	57.3193	147.682	89.8086	248.568	412.594	211.873	137.39	211.488	698.047	124.881	426.487	1011.23	595.269	585.748	713.196	1741.49	649.98	1415.35	1100.55	1096.62	867.716	856.497	1066.91	1272.64	944.106	1661.23	1882.4	2252.1	1301.61	1958.19	1483.84	2264.18	2280.55	2668.97	2396.86	2073.28	2328.23	2488.34	3067.42	2918.67	3292.36	3062.31	3395.72	3513.77	3971.35	4322.31	3902.2	3327.68	3822.51	4176.78	4571.8	3792.35	3902.21	4351.85	4096	3367.12	4149.08	4052.8	3629.52	4104.96	3626.21	3153.64	3281.83	2860.92	3314.52	2270.83	2531.44	2614.31	2211	1359.97	1891.35	1617.1	1537.12	1529.53	1206.32	968.338	434.204	794.214	772.511	575.854	853.471	534.347	347.749	256.491	249.635	356.078	211.821	105.883	162.255	164.618	55.6842	227.808	57.8277	129.956	47.3509	0	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	126.284	143.538	120.383	130.975	1.84186	2641.04	
6	11/11/21	12:59:55						0	0	113.691	0	0	0	0	0	91.7369	718.037	13977	64575.5	163780	322930	574849	924277	1.41824e+006	2.16285e+006	3.01136e+006	4.09129e+006	5.58146e+006	7.36608e+006	9.49889e+006	1.22182e+007	1.50719e+007	1.86844e+007	2.36632e+007	2.84754e+007	3.36615e+007	4.10139e+007	4.89309e+007	5.36158e+007	5.93935e+007	6.37071e+007	7.1847e+007	7.63436e+007	8.11437e+007	8.42871e+007	8.73148e+007	8.99108e+007	8.99284e+007	8.88725e+007	8.81454e+007	8.43081e+007	8.06729e+007	7.76872e+007	7.44642e+007	6.80306e+007	6.31902e+007	5.67268e+007	5.02682e+007	4.36071e+007	3.77224e+007	3.22031e+007	2.67346e+007	2.26707e+007	1.91138e+007	1.62544e+007	1.36501e+007	1.13189e+007	8.26246e+006	6.80915e+006	5.59769e+006	4.65858e+006	3.86086e+006	3.17899e+006	2.63872e+006	2.183e+006	1.85809e+006	1.55948e+006	1.31413e+006	1.10367e+006	951029	810213	691286	588501	516094	450322	387431	335327	291505	259972	232155	211904	195973	183105	164197	154712	146783	144102	132389	131231	123045	119866	118344	115886	111619	110425	108037	110001	108574	109118	106221	106278	109005	104413	107593	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	62.5662	67.2907	63.3097	61.5265	1.39908	3.15894e+007	
7	11/11/21	14:42:36						0	0	0	0	0	0	0	0	0	0	0	165.571	320.596	77.595	323.394	233.792	244.406	470.793	1010.26	268.075	109.489	121.853	178.453	0	0	54.7328	107.13	0	102.049	49.678	0	47.4837	46.6006	45.4738	44.6627	87.7595	0	2.0408	81.3647	164.007	121.019	0	0	0	0	113.086	37.3171	110.839	146.33	187.84	173.556	178.499	177.629	70.7068	114.509	96.1207	69.6896	174.193	138.688	34.6655	151.304	125.943	145.876	201.469	166.969	250.78	247.375	144.079	209.464	107.247	143.649	250.689	189.226	216.529	111.373	149.95	151.432	114.708	116.465	39.2199	79.2529	161.028	40.6861	82.7038	0	85.0188	0	38.9211	21.3571	164.715	92.2781	94.0024	95.1832	48.5105	0	0	50.1692	53.2039	0	0	54.8726	0	113.904	57.8277	0	0	61.1242	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	93.8301	131.372	84.5173	27.8813	2.62621	170.788	
8	11/11/21	14:46:40						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63.6594	4.85861	0	62.4406	0	0	0	0	0	53.5648	52.0837	51.0244	49.678	172.202	164.529	93.2011	90.9477	89.3254	87.7595	0	0	41.6858	0	36.3529	43.6217	0	38.6714	0	0	149.268	168.683	162.22	72.451	36.0469	84.9476	22.0438	70.7068	105.547	70.0258	0	139.355	138.688	277.324	103.977	103.957	111.231	166.67	166.969	144.292	79.4381	311.394	177.096	35.7489	143.649	108.754	72.8389	110.305	111.373	210.392	90.3925	0	77.6436	139.099	97.2182	120.771	40.6861	165.408	0	85.0188	86.476	165.827	70.9955	74.0985	92.2781	94.0024	0	145.531	0	100.244	100.338	50.466	3.78536	0	0	55.6842	56.952	34.2224	141.437	47.6825	12.6655	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	154.724	196.213	149.744	162.531	2.1425	109.374	
9	11/11/21	14:50:40						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.5787	0	0	0	0	0	0	0	0	0	49.678	0	0	0	0	0	43.8798	43.1235	42.3926	0	41.0018	40.3397	0	78.1536	0	38.0808	0	74.6342	36.9462	0.341938	42.5989	40.5121	96.0625	71.0517	70.7068	79.3261	134.506	66.333	34.8387	173.359	69.331	34.659	0	34.6456	53.2096	121.324	104.841	140.412	73.5582	244.883	71.4978	143.649	181.257	36.4194	135.602	160.081	224.925	265.005	114.708	77.6436	117.66	142.335	217.714	222.183	187.701	168.161	85.0188	86.476	170.898	65.8648	74.0985	46.139	94.0024	30.7578	65.6694	49.4661	150.366	0	152.894	3.78536	54.0849	0	222.737	56.952	0	0	60.1451	0	120	120	FALSE	1	None	3	0.3	0.3	0.3	10.2268	9581.11	14.3301	673.17	0.9		Normal Scan	6.03333	7.52082	1000	217.063	238.657	200.428	224.679	1.86899	96.4875	
