Sample File	C:\Users\Ramangroup\Desktop\KevinMeasurements\TSI-SMPS\20230529_SMPS3938_coatingsetuptest.S82	
AIM Version	10.3.3.1
Classifier Model	3082       	Classifier S/N	3082002406001   	Classifier Firmware Version	3.10
Neutralizer Model	3088	Neutralizer S/N	3088012202002
Impactor (cm)	None	Impactor S/N	
DMA Model	3081	DMA S/N	3081A2311003
DMA Inner Radius (cm)	0.937
DMA Outer Radius (cm)	1.961
DMA Characteristic Length (cm)	44.369
HV Polarity	NEG	
Detector Model	3775 Low Flow	Detector S/N	3775115103	 
Detector Sample Flow (L/min)	0.30	Detector Inlet Flow (L/min)	0.30
Reference Gas Viscosity (Pa*s)	1.832450e-005
Reference Mean Free Path (m)	6.730000e-008
Reference Gas Temperature (K)	296.15
Reference Gas Pressure (kPa)	101.30
Sutherland Constant (K)	110.40
Tube Length (cm)	24.50
Tube Diameter (cm)	0.48
Channels/Decade	64
Multiple Charge Correction	FALSE
Nanoparticle Agglomerate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Units	dw/dlogDp
Weight	Number
Sample #	Date	Start Time	Sample Temp (C)	Sample Pressure (kPa)	Relative Humidity (%)	Mean Free Path (m)	Gas Viscosity (Pa*s)	Diameter Midpoint (nm)	 34.6	 35.9	 37.2	 38.5	 40.0	 41.4	 42.9	 44.5	 46.1	 47.8	 49.6	 51.4	 53.3	 55.2	 57.3	 59.4	 61.5	 63.8	 66.1	 68.5	 71.0	 73.7	 76.4	 79.1	 82.0	 85.1	 88.2	 91.4	 94.7	 98.2	101.8	105.5	109.4	113.4	117.6	121.9	126.3	131.0	135.8	140.7	145.9	151.2	156.8	162.5	168.5	174.7	181.1	187.7	194.6	201.7	209.1	216.7	224.7	232.9	241.4	250.3	259.5	269.0	278.8	289.0	299.6	310.6	322.0	333.8	346.0	358.7	371.8	385.4	399.5	414.2	429.4	445.1	461.4	478.3	495.8	514.0	532.8	552.3	572.5	593.5	615.3	637.8	661.2	685.4	710.5	736.5	Scan Time (s)	Retrace Time (s)	Scan Resolution (Hz)	Scans Per Sample	Sheath Flow (L/min)	Aerosol Flow (L/min)	Bypass Flow (L/min)	Low Voltage (V)	High Voltage (V)	Lower Size (nm)	Upper Size (nm)	Density (g/cm³)	td + 0.5 (s)	tf (s)	D50 (nm)	Neutralizer Status 	Median (nm)	Mean (nm)	Geo. Mean (nm)	Mode (nm)	Geo. Std. Dev.	Total Conc. (#/cm³)	Title	User Name	Sample ID	Instrument ID	Lab ID	Leak Test and Leakage Rate	Instrument Errors	Comment
1	5/29/2024	14:29:04	28.1	95.7	30.5	7.27996e-008	1.85670e-005		630.917	1147.134	797.325	1049.983	1143.007	1966.077	1949.035	1506.671	2480.456	1363.623	2650.293	2081.422	2421.036	1713.843	1912.467	2102.624	1970.826	2718.930	2567.943	2023.212	2249.663	2084.596	1948.226	2326.015	2187.663	2208.156	2075.884	2349.057	1833.521	2012.939	2309.218	2214.457	2443.770	2538.539	1482.113	2206.242	1854.919	2111.160	1623.136	1339.834	950.862	1144.630	1506.371	1286.260	1236.622	831.310	791.851	921.006	601.622	726.249	721.485	506.183	677.358	477.419	131.208	528.985	133.947	90.025	45.389	414.012	46.400	94.094	47.715	96.312	146.641	99.143	0.000	51.140	51.663	104.993	53.361	54.257	0.000	0.000	56.803	0.000	58.904	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50	6	50	1	1.500	0.300	0.00	10.04	9880.28	 32.8	749.9	1.000	2.80	 13.8	1.00e+03	ON	82.399	97.496	84.955	63.780	1.664	1.441877e+003		Ramangroup					Normal Scan	
2	5/29/2024	14:39:17	28.3	95.0	30.2	7.33978e-008	1.85764e-005		0.000	0.000	0.000	0.000	0.000	0.000	70.578	0.000	0.000	63.971	0.000	60.637	0.000	0.000	0.000	54.668	0.000	52.246	0.000	0.000	0.000	0.000	0.000	0.000	45.938	0.000	0.000	44.259	86.584	0.754	0.000	0.000	42.228	0.000	41.746	0.000	41.299	0.000	41.052	0.000	0.000	40.895	0.000	40.867	0.000	0.000	0.000	41.411	41.513	41.805	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50	6	50	1	1.500	0.300	0.00	10.85	9787.17	 34.0	749.9	1.000	2.80	 13.8	1.00e+03	ON	94.408	104.761	92.722	94.746	1.652	1.331956e+001		Ramangroup					Normal Scan	
3	5/29/2024	15:32:07	29.0	95.3	23.0	7.33822e-008	1.86095e-005		46189.977	69871.860	143945.247	268656.324	475755.732	691161.777	864253.136	878712.813	816960.108	674748.361	491663.236	358684.440	244099.564	179933.504	131887.926	106408.911	84402.955	65842.748	48688.340	33347.797	24698.208	18393.646	11600.485	8223.635	5987.188	3869.519	2294.146	1931.399	1397.330	822.927	257.580	255.435	168.910	209.469	167.005	207.156	82.598	82.345	41.052	0.000	40.826	0.000	81.585	0.000	0.000	0.000	41.133	0.000	0.000	41.804	0.000	0.000	0.000	0.000	86.377	0.000	0.000	44.448	0.000	0.000	0.000	0.000	0.000	0.000	48.250	48.973	49.721	0.000	0.000	0.000	0.000	0.000	108.984	0.000	56.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50	6	50	1	1.500	0.300	0.00	10.87	9804.81	 34.0	749.9	1.000	2.80	 13.8	1.00e+03	ON	45.213	46.558	46.088	44.508	1.147	1.055711e+005		Ramangroup					Normal Scan	
4	5/29/2024	15:33:50	29.0	95.3	22.3	7.33822e-008	1.86095e-005		45377.513	69540.795	133539.833	283311.790	509834.845	716192.695	865254.368	885662.547	812013.186	645928.878	484128.356	332531.377	233748.308	169174.970	122270.263	96654.338	79186.180	61018.464	48521.255	33109.093	25705.674	17106.540	11739.598	8571.019	6098.563	3208.396	2050.402	1569.548	1543.320	780.256	600.997	298.011	179.587	156.991	83.496	41.431	82.598	82.345	205.275	122.808	0.000	40.894	122.378	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.314	101.163	0.000	0.000	43.188	43.529	0.000	0.000	134.459	0.934	44.876	46.456	0.000	0.000	0.000	0.000	0.000	50.496	51.013	76.225	27.898	0.000	0.000	0.000	0.000	57.104	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50	6	50	1	1.500	0.300	0.00	10.87	9804.81	 34.0	749.9	1.000	2.80	 13.8	1.00e+03	ON	45.043	46.396	45.927	44.508	1.147	1.048139e+005		Ramangroup					Normal Scan	
5	5/29/2024	15:36:29	29.0	95.3	21.4	7.33822e-008	1.86095e-005		5051.404	5367.758	10857.968	18303.445	30940.557	47782.317	54900.749	64278.493	58339.285	48782.860	39863.113	40414.929	53550.074	81024.538	116273.073	148114.974	178113.410	181970.449	158225.181	124518.065	94896.042	65337.806	50340.507	32350.709	23888.870	16602.625	12265.628	8777.927	6196.952	4695.982	3611.482	3033.256	1880.355	1120.658	778.910	891.225	428.606	709.963	214.046	204.681	81.651	286.270	81.585	81.741	122.860	0.000	0.000	0.000	41.512	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	47.116	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	61.184	0.000	0.000	0.000	0.000	0.000	0.000	50	6	50	1	1.500	0.300	0.00	10.87	9804.81	 34.0	749.9	1.000	2.80	 13.8	1.00e+03	ON	61.359	60.798	59.552	63.780	1.226	2.805786e+004		Ramangroup					Normal Scan	
6	5/29/2024	15:38:57	29.0	95.3	20.6	7.33822e-008	1.86095e-005		325.730	1214.502	4445.667	8737.395	13498.941	15784.535	22041.883	18922.395	19082.701	14109.376	14637.518	22562.425	39187.787	70260.937	118212.670	155964.028	178143.253	181159.618	166433.423	139827.149	103439.301	74698.085	50167.389	33507.886	24588.519	16833.108	12162.028	9290.331	6256.304	4469.208	4072.607	2527.818	1959.407	1351.634	1237.454	718.618	619.529	402.932	296.149	245.635	204.136	55.489	67.027	81.741	40.953	82.081	82.265	0.000	83.024	41.804	0.000	0.000	0.000	0.000	86.377	0.000	0.000	0.000	0.000	0.000	0.000	46.456	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	53.574	0.000	0.000	56.087	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	66.885	0.000	50	6	50	1	1.500	0.300	0.00	10.87	9804.81	 34.0	749.9	1.000	2.80	 13.8	1.00e+03	ON	63.415	64.046	63.082	63.780	1.188	2.428818e+004		Ramangroup					Normal Scan	
7	5/29/2024	15:41:52	29.1	95.3	19.8	7.34130e-008	1.86143e-005		597.519	2121.705	5773.573	8676.549	13352.478	17895.410	20078.745	20409.111	20889.970	16113.105	18370.784	27955.425	62875.270	141277.070	223733.275	312334.372	376473.462	401058.884	372426.132	310948.631	232359.034	174942.577	126191.902	83839.814	53764.365	37435.574	26431.382	17539.898	11569.729	9050.183	5950.565	4490.503	3461.943	2833.055	1306.156	906.414	676.466	472.571	451.609	409.402	244.981	327.222	122.388	0.000	0.000	82.088	82.271	82.827	41.515	0.000	0.000	0.000	0.000	0.000	6.400	37.081	0.000	44.452	0.000	0.000	0.000	46.459	0.000	0.000	0.000	0.000	0.000	50.500	0.000	0.000	0.000	53.577	0.000	55.449	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	65.948	66.889	0.000	50	6	50	1	1.500	0.300	0.00	10.87	9806.93	 34.0	749.9	1.000	2.80	 13.8	1.00e+03	OFF	64.345	65.260	64.497	63.780	1.163	4.951335e+004		Ramangroup					Neutralizer not active	
8	5/29/2024	15:49:41	29.2	95.3	17.8	7.34438e-008	1.86190e-005		17905.838	77524.964	224714.369	570878.843	1204729.614	1946759.898	2608375.223	3003436.981	3098708.690	2861614.521	2434300.306	1915684.974	1434982.050	1069127.411	815421.946	644639.432	521848.094	421447.891	348466.709	272060.482	203653.789	149858.498	102683.127	70137.321	47337.278	31873.379	22597.986	15120.995	9394.129	7939.916	5861.391	4164.071	2713.689	1915.072	1507.250	839.207	1228.921	576.529	322.418	374.531	408.347	122.703	163.196	163.508	122.879	205.243	41.139	0.000	166.073	83.620	125.764	168.907	42.541	42.863	172.778	0.000	132.278	44.455	134.478	45.430	0.000	46.463	0.000	47.558	48.256	97.959	49.728	151.510	51.020	0.000	0.000	53.581	0.000	110.905	168.284	0.000	0.000	0.000	0.000	0.000	62.420	24.960	39.273	86.329	113.119	60.862	50	6	50	1	1.500	0.300	0.00	10.87	9809.04	 34.0	749.9	1.000	2.80	 13.8	1.00e+03	OFF	47.185	48.978	48.380	46.138	1.163	4.090051e+005		Ramangroup					Neutralizer not active	
9	5/29/2024	15:51:07	29.2	95.3	17.5	7.34438e-008	1.86190e-005		186429.270	529454.690	1230328.845	2246567.659	3701626.835	5073455.277	5947071.447	5986433.076	5361720.776	4273586.002	3083675.752	2092468.127	1344863.227	825795.460	533129.941	342026.795	219560.488	139665.084	93777.784	63207.310	42010.395	26161.813	18313.024	12623.355	9066.623	6034.551	4018.292	2823.578	2127.521	1259.927	1057.694	739.512	295.644	418.056	360.722	678.966	82.611	154.291	174.628	40.943	245.000	122.703	163.196	81.754	40.960	82.094	82.277	82.833	83.037	41.810	41.921	0.000	212.704	0.000	86.389	130.604	0.000	88.909	44.826	45.430	137.473	92.925	47.123	0.000	0.000	48.384	100.061	0.000	153.060	51.843	0.000	107.161	54.499	55.453	207.116	74.688	116.338	0.000	60.415	61.192	124.840	0.000	0.000	0.000	66.893	68.378	50	6	50	1	1.500	0.300	0.00	10.87	9809.04	 34.0	749.9	1.000	2.80	 13.8	1.00e+03	OFF	44.468	45.198	44.884	44.508	1.121	6.782280e+005		Ramangroup					Neutralizer not active	
10	5/29/2024	15:55:08	29.2	95.3	16.6	7.34438e-008	1.86190e-005		2256.646	5052.197	12707.751	22722.375	40089.005	54883.706	74069.183	80252.844	70705.012	61169.888	45518.706	36301.160	22127.337	14237.670	11769.307	7657.238	4859.411	4434.073	6036.628	12769.435	22337.234	43066.512	64785.470	87971.579	112699.510	112526.393	112372.963	102123.020	79380.241	64826.246	46644.235	37426.411	25979.635	18207.928	12858.623	8868.670	6696.759	4560.736	3976.862	2378.408	1782.467	1146.884	960.110	833.190	522.995	473.670	265.794	165.666	200.778	215.932	125.764	84.454	212.704	106.601	151.743	43.535	44.093	0.000	0.000	0.000	0.000	46.463	0.000	0.000	0.000	0.000	49.728	50.503	0.000	0.000	0.000	49.242	4.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50	6	50	1	1.500	0.300	0.00	10.87	9809.04	 34.0	749.9	1.000	2.80	 13.8	1.00e+03	OFF	79.809	73.991	69.810	82.047	1.417	2.448193e+004		Ramangroup					Neutralizer not active	
