Sample File	C:\Users\Ramangroup\Desktop\Leon\20250932_VI_Charcterization.A21
Sample Time	20
Density	1
Stokes Correction	off
Lower Channel Bound	0.486968
Upper Channel Bound	20.5353
Sample #	Date	Start Time	Aerodynamic Diameter	<0.523	0.542	0.583	0.626	0.673	0.723	0.777	0.835	0.898	0.965	1.037	1.114	1.197	1.286	1.382	1.486	1.596	1.715	1.843	1.981	2.129	2.288	2.458	2.642	2.839	3.051	3.278	3.523	3.786	4.068	4.371	4.698	5.048	5.425	5.829	6.264	6.732	7.234	7.774	8.354	8.977	9.647	10.37	11.14	11.97	12.86	13.82	14.86	15.96	17.15	18.43	19.81	Event 1	Event 3	Event 4	Dead Time	Inlet Pressure	Total Flow	Sheath Flow	Analog Input Voltage 0	Analog Input Voltage 1	Digital Input Level 0	Digital Input Level 1	Digital Input Level 2	Laser Power	Laser Current	Sheath Pump Voltage	Total Pump Voltage	Box Temperature	Avalanch Photo Diode Temperature	Avalanch Photo Diode Voltage	Status Flags	Median(µm)	Mean(µm)	Geo. Mean(µm)	Mode(µm)	Geo. Std. Dev.	Total Conc.
1	09/23/25	10:06:40	dN/dlogDp	1649.61	1013.84	967.085	921.87	860.431	780.272	722.386	692.146	631.187	625.044	630.323	666.035	819.152	1185.77	1967.48	3402.75	5727.15	8883.66	12443.6	17661.2	23494.6	17724.4	9756.96	6449.73	4012.82	2197.2	1301.93	730.257	438.519	274.267	198.428	167.997	169.917	180.764	147.933	102.91	45.8871	21.7916	9.21582	7.77584	5.27989	5.1839	4.03192	4.51191	2.78394	2.01596	2.11196	2.87994	2.20796	1.53597	1.15198	0.47999	32765	100955	0	7861	937.7	4.98	3.99	0	0	0	0	0	75	55.6	2.628	3.179	27	23.6	213	0000 0000 0000 1000	2.07726	2.06481	1.96456	2.12875	1.39891	4414.55(#/cm³)
2	09/23/25	10:20:12	dN/dlogDp	3598.79	1383.52	1387.94	1403.68	1413.28	1381.8	1388.9	1366.63	1408.96	1424.13	1402.15	1207.27	1061.35	907.086	865.231	856.015	740.529	602.772	464.823	391	421.912	356.345	238.075	222.524	244.699	366.809	830.479	1503.52	1424.61	764.433	348.665	106.654	29.2794	5.37589	2.39995	1.63197	1.24798	0.863983	0.767985	0.959981	0.47999	0.47999	0	0	0	0	0.0959981	0	0	0	0	0	44472	43015	0	2612	939.2	4.99	3.98	0	0	0	0	0	75	56	2.64	3.169	30.2	26.1	215	0000 0000 0000 1000	1.07555	1.5857	1.27087	3.52269	1.89977	1772.49(#/cm³)
3	09/23/25	10:31:05	dN/dlogDp	1384.93	247.963	230.779	214.172	194.972	192.188	178.268	163.293	149.277	160.701	151.485	137.373	110.014	97.1501	86.4943	99.646	97.0541	94.6541	105.022	188.54	457.527	1095.53	1738.24	2110.23	1540.87	594.324	243.163	113.374	39.3592	12.7677	3.83992	3.74393	2.49595	2.97594	2.78394	3.64793	1.15198	0.767985	0.191996	0	0	0	0	0	0.0959981	0	0	0	0	0	0	0	24639	2914	1	929	940.4	4.98	3.98	0	0	0	0	0	75	56.3	2.663	3.172	31.2	27	215	0000 0000 0000 1000	2.47282	2.20746	1.99121	2.64165	1.66716	685.798(#/cm³)
4	09/23/25	11:04:59	dN/dlogDp	336.149	116.83	120.862	119.806	122.11	125.853	128.925	134.493	150.237	183.452	225.02	297.978	411.544	625.907	1273.32	3203.65	7455.31	11652.3	12471.2	10150.7	6608.89	3810.45	1593.09	713.458	325.241	120.766	52.319	24.9595	11.1358	6.23988	7.10386	6.62387	6.04788	3.55193	2.59195	0.47999	0.0959981	0.191996	0.191996	0	0	0.0959981	0.0959981	0.0959981	0.191996	0.191996	0.0959981	0	0.191996	0.0959981	0	0.287994	7514	63864	1	3713	940.1	4.97	3.98	0	0	0	0	0	75	56.6	2.668	3.208	30.8	28.5	216	0000 0000 0000 1000	1.83036	1.8411	1.80708	1.84342	1.22423	2029.8(#/cm³)
5	09/23/25	11:33:50	dN/dlogDp	395.752	128.829	131.517	122.206	122.878	124.606	118.75	118.558	134.685	170.589	231.643	348.377	522.038	860.719	1825.6	4711.97	10438.2	15065.7	13683.5	8582.9	4942.08	2844.04	1238.28	515.51	217.148	91.5822	43.8711	17.9516	7.39185	5.47189	4.9919	4.31991	3.26393	2.49595	1.63197	0	0	0	0.0959981	0	0	0.0959981	0.191996	0.287994	0.0959981	0	0	0	0	0	0	0	8367	94563	1	4103	939.8	4.98	3.98	0	0	0	0	0	75	56.7	2.667	3.208	31.8	29	216	0000 0000 0000 1000	1.76725	1.78329	1.75352	1.71544	1.21137	2204.69(#/cm³)
6	09/23/25	11:52:42	dN/dlogDp	219.032	91.8702	90.6222	95.0381	103.102	106.846	113.662	122.398	144.381	190.556	267.355	411.832	651.251	1122.12	2377.3	6159.14	14074.8	20444.3	19337.6	12940.1	7824.52	5010.62	2354.45	1043.79	504.086	217.244	106.462	51.647	30.2394	22.4636	22.2716	22.0796	17.7596	11.8078	7.39185	2.39995	1.05598	0.575988	0.47999	0.383992	0.383992	0.575988	0.575988	0.191996	0.383992	0.0959981	0.575988	0.287994	0.47999	0.47999	0.671987	0.671987	4715	167039	0	6073	939.8	4.97	3.99	0	0	0	0	0	75	56.8	2.67	3.195	31.8	29.5	217	0000 0000 0000 1000	1.78962	1.82131	1.79137	1.71544	1.20295	3057.92(#/cm³)
7	09/23/25	12:00:54	dN/dlogDp	349.589	113.662	117.022	107.326	108.478	106.078	108.574	115.87	126.045	169.629	235.867	332.921	508.694	846.799	1724.7	4541.96	10686.3	15836.3	14936.2	9839.52	5903.02	3580.54	1585.5	650.771	300.954	127.677	55.5829	22.5595	14.7837	11.9038	9.59981	7.96784	6.71987	5.56789	2.01596	1.05598	0.47999	0.191996	0.383992	0.191996	0.191996	0.0959981	0	0.191996	0	0.0959981	0.191996	0	0.0959981	0.191996	0.287994	0	7686	96004	1	4428	940.1	4.97	3.98	0	0	0	0	0	75	56.8	2.673	3.198	31.9	29.5	217	0000 0000 0000 1000	1.78511	1.80744	1.77763	1.71544	1.20787	2363.99(#/cm³)
8	09/23/25	13:12:53	dN/dlogDp	216.164	69.4066	73.7265	75.6465	88.3182	108.094	122.206	167.613	251.419	397.432	699.346	1261.41	2204.88	3989.78	8662.39	18231.8	21261.8	13381.1	5945.26	3173.02	2022.39	1097.83	423.064	161.277	76.7985	33.1193	15.4557	7.77584	3.45593	3.07194	2.30395	1.82396	1.53597	0.287994	0.287994	0.287994	0.191996	0.0959981	0.0959981	0.0959981	0.383992	0	0	0.0959981	0.383992	0.191996	0.191996	0	0.287994	0.0959981	0	0.0959981	4112	192730	0	5329	940.1	4.98	3.99	0	0	0	0	0	75	56.8	2.683	3.194	31.7	29.5	217	0000 0000 0000 1000	1.57123	1.58268	1.56085	1.59634	1.18457	2679.59(#/cm³)
9	09/23/25	14:26:04	dN/dlogDp	214.904	245.275	335.801	473.751	693.49	1055.98	1652.03	2683.82	4932.67	9451.4	16668.1	21389.3	18840.1	11299.7	5650.64	2455.25	835.183	228.379	53.9509	20.1596	11.4238	8.44783	6.23988	2.68795	1.24798	0.575988	0.767985	0.191996	0.575988	0.0959981	0.0959981	0.287994	0.287994	0.287994	0.383992	0.287994	0.383992	0.191996	0.575988	0.191996	0.0959981	0.0959981	0.0959981	0.0959981	0	0.0959981	0	0	0	0	0	0	3623	327376	0	6331	940.1	4.98	3.98	0	0	0	0	0	75	56.8	2.68	3.228	32.7	29.5	217	0000 0000 0000 1000	1.11772	1.11663	1.10182	1.11397	1.18076	3147.5(#/cm³)
10	09/23/25	14:31:02	dN/dlogDp	144.189	127.677	164.157	231.067	317.082	467.031	680.338	1047.53	1846.33	3600.79	7831.24	15200.8	21382.9	20646.5	14756.6	8279.35	3458.23	1096.3	274.939	76.6065	34.0793	16.6077	8.06384	4.51191	3.07194	1.63197	1.15198	1.24798	0.575988	0.287994	0.287994	0.191996	0.287994	0.191996	0.383992	0.287994	0.575988	0.287994	0.287994	0.0959981	0.191996	0.287994	0.191996	0.287994	0	0.0959981	0	0	0.0959981	0	0	0	2756	366880	0	6765	940.1	4.98	3.98	0	0	0	0	0	75	56.8	2.684	3.216	32.7	30	217	0000 0000 0000 1000	1.23321	1.2363	1.22103	1.19709	1.17398	3209.82(#/cm³)
11	09/23/25	14:33:31	dN/dlogDp	143.853	98.494	116.542	148.221	196.412	271.867	390.52	578.388	986.476	1781.34	3634.1	7209.55	12919.5	18821.9	22177.5	18029.7	9974.01	4229.2	1406.28	479.894	207.548	96.7661	33.8873	14.5917	8.54383	5.66389	2.20796	2.68795	1.72797	0.767985	0.863983	0.47999	0.47999	0.383992	0.383992	0.191996	0.383992	0.287994	0.0959981	0.287994	0.287994	0.191996	0.0959981	0.191996	0	0.383992	0	0.0959981	0.0959981	0.0959981	0.0959981	0	2880	401095	0	7194	939.2	4.97	3.98	0	0	0	0	0	75	56.8	2.677	3.225	32.4	29.5	217	0000 0000 0000 1000	1.35576	1.35284	1.33514	1.38237	1.17966	3280.64(#/cm³)
12	09/23/25	14:43:33	dN/dlogDp	151.749	103.582	117.598	154.077	194.876	274.171	396.184	585.108	986.956	1814.94	3647.64	7064.4	11938.2	15854.1	17228.2	13393.5	7404.91	3041.99	931.277	281.466	115.294	41.5672	14.4957	6.33587	5.37589	1.72797	0.863983	0.767985	0.287994	0.671987	0.287994	0.383992	0.191996	0.191996	0.191996	0	0.287994	0.0959981	0.0959981	0.0959981	0.191996	0	0	0	0.0959981	0.0959981	0	0.0959981	0	0	0	0	2313	223105	0	5329	939.8	4.98	3.98	0	0	0	0	0	75	56.8	2.68	3.228	31.8	29.5	217	0000 0000 0000 1000	1.33245	1.32922	1.31121	1.38237	1.18394	2713.03(#/cm³)
13	09/23/25	14:47:44	dN/dlogDp	183.332	86.4943	85.9183	101.566	112.606	130.269	156.381	203.996	299.706	461.943	801.584	1453.41	2489.33	4249.16	8269.08	14655.7	16572.7	10722.9	4689.89	1873.4	869.743	398.872	111.934	30.8154	11.9998	5.75988	2.87994	1.63197	0.863983	0.767985	0.287994	0.47999	0.191996	0	0	0.191996	0.191996	0.191996	0	0	0.0959981	0	0	0.0959981	0	0.0959981	0	0	0	0	0.0959981	0	2457	125794	1	4147	940.1	4.97	3.98	0	0	0	0	0	75	56.8	2.688	3.222	32.3	29.5	217	0000 0000 0000 0000	1.54695	1.53732	1.51621	1.59634	1.18774	2197.5(#/cm³)
14	09/23/25	14:54:41	dN/dlogDp	107.266	66.2387	71.1346	77.7584	96.1901	122.59	160.509	218.588	308.922	531.925	1007.69	1888.86	3313.95	5762.96	10938.9	17699.2	18489	11377.6	4806.91	1720	769.809	362.201	113.278	36.4793	13.4397	6.71987	3.07194	1.53597	1.43997	0.863983	0.863983	0.575988	0.383992	0.191996	0.191996	0.191996	0.0959981	0	0.287994	0.191996	0.0959981	0	0.191996	0	0.191996	0.191996	0.191996	0.287994	0.0959981	0	0	0.0959981	1726	181262	0	4963	939.8	4.98	3.99	0	0	0	0	0	75	56.8	2.686	3.222	31.9	29.5	217	0000 0000 0000 0000	1.52715	1.52029	1.50082	1.59634	1.17902	2525.94(#/cm³)
